ID,Tanggal,Pelabuhan,Jenis Kendala,Cuaca,Volume Kargo (ton),Risiko Delay (Jam),Rekomendasi AI
ISS0001,29/06/2025,Tanjung Perak,Cuaca Buruk,Kabut Tebal,18011,0.22,Tunda pengiriman hingga cuaca membaik
ISS0002,03/07/2025,Bitung,Cuaca Buruk,Angin Kencang,16176,0.3,Alihkan kontainer ke terminal lain
ISS0003,08/06/2025,Bitung,Force Majeure,Angin Kencang,11250,0.58,Alokasikan ke terminal cadangan
ISS0004,28/07/2025,Tanjung Priok,Overload,Cerah,17724,0.31,Alokasikan ke terminal cadangan
ISS0005,20/06/2025,Bitung,Force Majeure,Angin Kencang,9123,0.65,Alihkan ke pelabuhan terdekat
ISS0006,07/06/2025,Bitung,Force Majeure,Kabut Tebal,14158,0.11,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0007,29/06/2025,Tanjung Priok,Force Majeure,Hujan Deras,6330,0.16,Koordinasi dengan otoritas pelabuhan
ISS0008,12/07/2025,Makassar,Cuaca Buruk,Kabut Tebal,13902,0.47,Tambahkan armada ke pelabuhan
ISS0009,12/07/2025,Tanjung Priok,Overload,Hujan Deras,18374,0.71,Alokasikan ke terminal cadangan
ISS0010,15/07/2025,Bitung,Overload,Kabut Tebal,12353,0.62,Percepat proses bongkar saat cuaca memungkinkan
ISS0011,10/07/2025,Bitung,Overload,Badai,16179,0.63,Alihkan ke pelabuhan terdekat
ISS0012,10/06/2025,Belawan,Overload,Badai,3087,0.24,Koordinasi dengan otoritas pelabuhan
ISS0013,14/07/2025,Belawan,Overload,Badai,8255,0.56,Alihkan ke pelabuhan terdekat
ISS0014,16/07/2025,Tanjung Perak,Cuaca Buruk,Cerah,18978,0.83,Alokasikan ke terminal cadangan
ISS0015,04/06/2025,Makassar,Force Majeure,Hujan Deras,15805,0.6,Koordinasi dengan otoritas pelabuhan
ISS0016,27/07/2025,Tanjung Priok,Force Majeure,Angin Kencang,11892,0.13,Alokasikan ke terminal cadangan
ISS0017,24/07/2025,Makassar,Overload,Cerah,18819,0.84,Tambahkan armada ke pelabuhan
ISS0018,19/06/2025,Tanjung Perak,Overload,Kabut Tebal,15740,0.28,Alihkan ke pelabuhan terdekat
ISS0019,29/07/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,15748,0.32,Alokasikan ke terminal cadangan
ISS0020,27/07/2025,Makassar,Cuaca Buruk,Angin Kencang,11586,0.67,Alihkan ke pelabuhan terdekat
ISS0021,19/06/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,10599,0.26,Alihkan kontainer ke terminal lain
ISS0022,12/07/2025,Belawan,Overload,Badai,8846,0.61,Tambahkan armada ke pelabuhan
ISS0023,21/07/2025,Tanjung Perak,Force Majeure,Cerah,11889,0.16,Alihkan ke pelabuhan terdekat
ISS0024,14/06/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,8706,0.66,Aktifkan jalur logistik alternatif
ISS0025,28/07/2025,Tanjung Priok,Overload,Badai,18674,0.27,Aktifkan jalur logistik alternatif
ISS0026,14/06/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,15768,0.63,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0027,06/07/2025,Tanjung Perak,Overload,Badai,15461,0.53,Aktifkan jalur logistik alternatif
ISS0028,27/07/2025,Belawan,Force Majeure,Angin Kencang,6649,0.33,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0029,29/06/2025,Makassar,Cuaca Buruk,Angin Kencang,9633,0.76,Tunda pengiriman hingga cuaca membaik
ISS0030,12/06/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,13037,0.64,Tunda pengiriman hingga cuaca membaik
ISS0031,05/06/2025,Belawan,Overload,Badai,6475,0.67,Aktifkan jalur logistik alternatif
ISS0032,24/07/2025,Tanjung Perak,Overload,Angin Kencang,3393,0.2,Aktifkan jalur logistik alternatif
ISS0033,21/06/2025,Makassar,Overload,Cerah,6610,0.49,Alihkan kontainer ke terminal lain
ISS0034,07/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,3385,0.11,Koordinasi dengan otoritas pelabuhan
ISS0035,02/06/2025,Belawan,Overload,Hujan Deras,10717,0.14,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0036,10/06/2025,Bitung,Cuaca Buruk,Angin Kencang,19779,0.53,Alihkan kontainer ke terminal lain
ISS0037,30/06/2025,Belawan,Force Majeure,Angin Kencang,6901,0.72,Aktifkan jalur logistik alternatif
ISS0038,16/06/2025,Tanjung Perak,Overload,Kabut Tebal,14887,0.84,Alihkan kontainer ke terminal lain
ISS0039,16/07/2025,Makassar,Force Majeure,Cerah,11317,0.64,Tunda pengiriman hingga cuaca membaik
ISS0040,22/06/2025,Tanjung Priok,Overload,Kabut Tebal,16327,0.41,Alokasikan ke terminal cadangan
ISS0041,09/07/2025,Tanjung Perak,Force Majeure,Hujan Deras,9227,0.46,Percepat proses bongkar saat cuaca memungkinkan
ISS0042,28/06/2025,Bitung,Force Majeure,Hujan Deras,9374,0.91,Alihkan kontainer ke terminal lain
ISS0043,25/06/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,15287,0.26,Aktifkan jalur logistik alternatif
ISS0044,14/07/2025,Belawan,Cuaca Buruk,Angin Kencang,16347,0.94,Tunda pengiriman hingga cuaca membaik
ISS0045,27/06/2025,Bitung,Overload,Badai,18329,0.12,Aktifkan jalur logistik alternatif
ISS0046,02/07/2025,Tanjung Perak,Force Majeure,Hujan Deras,13470,0.69,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0047,06/07/2025,Makassar,Overload,Hujan Deras,10508,0.32,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0048,09/06/2025,Tanjung Priok,Force Majeure,Kabut Tebal,19871,0.43,Alihkan kontainer ke terminal lain
ISS0049,25/06/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,12471,0.92,Tambahkan armada ke pelabuhan
ISS0050,18/06/2025,Tanjung Priok,Force Majeure,Cerah,12796,0.11,Percepat proses bongkar saat cuaca memungkinkan
ISS0051,12/06/2025,Makassar,Cuaca Buruk,Hujan Deras,19607,0.28,Tambahkan armada ke pelabuhan
ISS0052,05/07/2025,Tanjung Priok,Overload,Cerah,9347,0.12,Alihkan ke pelabuhan terdekat
ISS0053,26/07/2025,Makassar,Overload,Angin Kencang,7411,0.7,Aktifkan jalur logistik alternatif
ISS0054,24/07/2025,Tanjung Priok,Overload,Kabut Tebal,19926,0.53,Alihkan kontainer ke terminal lain
ISS0055,14/07/2025,Bitung,Cuaca Buruk,Badai,6968,0.59,Alihkan kontainer ke terminal lain
ISS0056,24/06/2025,Tanjung Perak,Overload,Cerah,2782,0.77,Alokasikan ke terminal cadangan
ISS0057,05/06/2025,Tanjung Priok,Overload,Angin Kencang,2848,0.7,Alokasikan ke terminal cadangan
ISS0058,26/06/2025,Belawan,Overload,Kabut Tebal,12336,0.11,Percepat proses bongkar saat cuaca memungkinkan
ISS0059,06/07/2025,Makassar,Force Majeure,Badai,4333,0.75,Alihkan ke pelabuhan terdekat
ISS0060,29/06/2025,Bitung,Overload,Angin Kencang,17004,0.17,Koordinasi dengan otoritas pelabuhan
ISS0061,21/07/2025,Belawan,Overload,Badai,4549,0.83,Koordinasi dengan otoritas pelabuhan
ISS0062,26/06/2025,Makassar,Overload,Cerah,16362,0.93,Alihkan ke pelabuhan terdekat
ISS0063,18/07/2025,Belawan,Overload,Badai,18171,0.62,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0064,13/06/2025,Makassar,Overload,Angin Kencang,17798,0.5,Alihkan ke pelabuhan terdekat
ISS0065,28/06/2025,Bitung,Overload,Hujan Deras,2483,0.7,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0066,30/06/2025,Tanjung Perak,Force Majeure,Kabut Tebal,19482,0.48,Aktifkan jalur logistik alternatif
ISS0067,07/07/2025,Belawan,Overload,Angin Kencang,4619,0.45,Alokasikan ke terminal cadangan
ISS0068,22/06/2025,Tanjung Perak,Force Majeure,Kabut Tebal,7613,0.42,Tunda pengiriman hingga cuaca membaik
